Washington Frame Post Build Video:


{bl:2513.932,   br:1548.680,   tr:1080.874,   tl:2289.237},
{bl:2566.772,   br:1629.716,   tr:1016.216,   tl:2259.452},
{bl:2714.356,   br:1554.515,   tr:887.066,   tl:2426.889},
{bl:2663.072,   br:1465.282,   tr:960.721,   tl:2455.050},
{bl:2616.346,   br:1378.690,   tr:1038.276,   tl:2486.542},
{bl:2570.847,   br:1292.458,   tr:1120.128,   tl:2521.619},
{bl:2528.659,   br:1207.224,   tr:1204.522,   tl:2560.164},
{bl:2490.178,   br:1125.620,   tr:1291.106,   tl:2601.952},
{bl:2455.128,   br:1046.132,   tr:1379.469,   tl:2646.834},
{bl:2423.370,   br:970.177,   tr:1469.496,   tl:2694.712},
{bl:2396.544,   br:898.683,   tr:1560.587,   tl:2745.372},

(-24.589383415122416, 2058.187395490206), (2920.7553771833127, 2065.5020689498883)
 (0, 0), (2947.594323349783, 0)

 
Full auto horiontal calibration

