
First run with new calibraiton system:

{bl:2467.045,   br:1460.311,   tr:853.532,   tl:2116.971},
{bl:2615.224,   br:1386.104,   tr:726.379,   tl:2284.521},
{bl:2566.461,   br:1295.639,   tr:799.787,   tl:2312.445},
{bl:2517.628,   br:1207.192,   tr:878.955,   tl:2343.655},
{bl:2475.709,   br:1117.731,   tr:961.172,   tl:2378.671},
{bl:2433.154,   br:1032.452,   tr:1046.129,   tl:2416.856},
{bl:2395.674,   br:947.510,   tr:1133.290,   tl:2458.440},
{bl:2361.987,   br:864.257,   tr:1222.156,   tl:2503.174},
{bl:2329.848,   br:784.977,   tr:1312.583,   tl:2550.810},
{bl:2302.922,   br:711.695,   tr:1403.985,   tl:2601.251},
